accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,mcc,auroc,tn,fp,fn,tp,repeat,seed,K,n_features_used,experiment,model,n_subjects,n_segments
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,0,42,5,5,feature_selection,extratrees_topk_5,13,1573
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,1.0,4,2,0,7,0,42,10,10,feature_selection,extratrees_topk_10,13,1573
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,1.0,4,2,0,7,0,42,15,15,feature_selection,extratrees_topk_15,13,1573
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,1.0,4,2,0,7,0,42,20,20,feature_selection,extratrees_topk_20,13,1573
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,0,42,30,30,feature_selection,extratrees_topk_30,13,1573
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,0,42,50,50,feature_selection,extratrees_topk_50,13,1573
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,0,42,70,70,feature_selection,extratrees_topk_70,13,1573
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,0,42,90,90,feature_selection,extratrees_topk_90,13,1573
0.7692307692307693,0.7738095238095238,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5476190476190477,0.8095238095238094,5,1,2,5,1,43,5,5,feature_selection,extratrees_topk_5,13,1833
0.6923076923076923,0.6785714285714286,0.6666666666666666,0.8571428571428571,0.5,0.75,0.38575837490522974,0.8809523809523809,3,3,1,6,1,43,10,10,feature_selection,extratrees_topk_10,13,1833
0.8461538461538461,0.8452380952380952,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8571428571428571,0.6904761904761905,0.8809523809523809,5,1,1,6,1,43,15,15,feature_selection,extratrees_topk_15,13,1833
0.8461538461538461,0.8452380952380952,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8571428571428571,0.6904761904761905,0.8571428571428571,5,1,1,6,1,43,20,20,feature_selection,extratrees_topk_20,13,1833
0.7692307692307693,0.7619047619047619,0.75,0.8571428571428571,0.6666666666666666,0.8,0.5367450401216932,0.8571428571428571,4,2,1,6,1,43,30,30,feature_selection,extratrees_topk_30,13,1833
0.8461538461538461,0.8452380952380952,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8571428571428571,0.6904761904761905,0.8571428571428571,5,1,1,6,1,43,50,50,feature_selection,extratrees_topk_50,13,1833
0.8461538461538461,0.8452380952380952,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8571428571428571,0.6904761904761905,0.8571428571428571,5,1,1,6,1,43,70,70,feature_selection,extratrees_topk_70,13,1833
0.8461538461538461,0.8452380952380952,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8571428571428571,0.6904761904761905,0.8809523809523809,5,1,1,6,1,43,90,90,feature_selection,extratrees_topk_90,13,1833
0.8461538461538461,0.8452380952380952,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8571428571428571,0.6904761904761905,0.9761904761904763,5,1,1,6,2,44,5,5,feature_selection,extratrees_topk_5,13,1588
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,0.9761904761904763,5,1,0,7,2,44,10,10,feature_selection,extratrees_topk_10,13,1588
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,0.9761904761904763,5,1,0,7,2,44,15,15,feature_selection,extratrees_topk_15,13,1588
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,2,44,20,20,feature_selection,extratrees_topk_20,13,1588
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,2,44,30,30,feature_selection,extratrees_topk_30,13,1588
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,2,44,50,50,feature_selection,extratrees_topk_50,13,1588
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,2,44,70,70,feature_selection,extratrees_topk_70,13,1588
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,2,44,90,90,feature_selection,extratrees_topk_90,13,1588
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,0.9761904761904763,5,1,0,7,3,45,5,5,feature_selection,extratrees_topk_5,13,1583
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,3,45,10,10,feature_selection,extratrees_topk_10,13,1583
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,3,45,15,15,feature_selection,extratrees_topk_15,13,1583
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,0.9523809523809524,4,2,0,7,3,45,20,20,feature_selection,extratrees_topk_20,13,1583
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,3,45,30,30,feature_selection,extratrees_topk_30,13,1583
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,1.0,4,2,0,7,3,45,50,50,feature_selection,extratrees_topk_50,13,1583
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,1.0,4,2,0,7,3,45,70,70,feature_selection,extratrees_topk_70,13,1583
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,3,45,90,90,feature_selection,extratrees_topk_90,13,1583
0.8461538461538461,0.8571428571428572,1.0,0.7142857142857143,1.0,0.8333333333333334,0.7319250547113999,0.9285714285714286,6,0,2,5,4,46,5,5,feature_selection,extratrees_topk_5,13,1660
0.9230769230769231,0.9285714285714286,1.0,0.8571428571428571,1.0,0.9230769230769231,0.8571428571428571,1.0,6,0,1,6,4,46,10,10,feature_selection,extratrees_topk_10,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,4,46,15,15,feature_selection,extratrees_topk_15,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,4,46,20,20,feature_selection,extratrees_topk_20,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,4,46,30,30,feature_selection,extratrees_topk_30,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,4,46,50,50,feature_selection,extratrees_topk_50,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,4,46,70,70,feature_selection,extratrees_topk_70,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,4,46,90,90,feature_selection,extratrees_topk_90,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,5,47,5,5,feature_selection,extratrees_topk_5,13,1600
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,5,47,10,10,feature_selection,extratrees_topk_10,13,1600
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,5,47,15,15,feature_selection,extratrees_topk_15,13,1600
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,5,47,20,20,feature_selection,extratrees_topk_20,13,1600
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,5,47,30,30,feature_selection,extratrees_topk_30,13,1600
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,5,47,50,50,feature_selection,extratrees_topk_50,13,1600
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,5,47,70,70,feature_selection,extratrees_topk_70,13,1600
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,5,47,90,90,feature_selection,extratrees_topk_90,13,1600
0.9230769230769231,0.9285714285714286,1.0,0.8571428571428571,1.0,0.9230769230769231,0.8571428571428571,0.9523809523809524,6,0,1,6,6,48,5,5,feature_selection,extratrees_topk_5,13,1680
0.9230769230769231,0.9285714285714286,1.0,0.8571428571428571,1.0,0.9230769230769231,0.8571428571428571,1.0,6,0,1,6,6,48,10,10,feature_selection,extratrees_topk_10,13,1680
0.9230769230769231,0.9285714285714286,1.0,0.8571428571428571,1.0,0.9230769230769231,0.8571428571428571,1.0,6,0,1,6,6,48,15,15,feature_selection,extratrees_topk_15,13,1680
0.9230769230769231,0.9285714285714286,1.0,0.8571428571428571,1.0,0.9230769230769231,0.8571428571428571,1.0,6,0,1,6,6,48,20,20,feature_selection,extratrees_topk_20,13,1680
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,6,48,30,30,feature_selection,extratrees_topk_30,13,1680
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,6,48,50,50,feature_selection,extratrees_topk_50,13,1680
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,6,48,70,70,feature_selection,extratrees_topk_70,13,1680
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,6,48,90,90,feature_selection,extratrees_topk_90,13,1680
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,0.9761904761904763,5,1,0,7,7,49,5,5,feature_selection,extratrees_topk_5,13,1627
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,0.8809523809523809,4,2,0,7,7,49,10,10,feature_selection,extratrees_topk_10,13,1627
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,0.9523809523809524,4,2,0,7,7,49,15,15,feature_selection,extratrees_topk_15,13,1627
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,0.880952380952381,4,2,0,7,7,49,20,20,feature_selection,extratrees_topk_20,13,1627
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,0.9523809523809524,4,2,0,7,7,49,30,30,feature_selection,extratrees_topk_30,13,1627
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,0.9761904761904763,4,2,0,7,7,49,50,50,feature_selection,extratrees_topk_50,13,1627
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,0.9761904761904763,4,2,0,7,7,49,70,70,feature_selection,extratrees_topk_70,13,1627
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,0.9761904761904763,4,2,0,7,7,49,90,90,feature_selection,extratrees_topk_90,13,1627
0.9230769230769231,0.9285714285714286,1.0,0.8571428571428571,1.0,0.9230769230769231,0.8571428571428571,1.0,6,0,1,6,8,50,5,5,feature_selection,extratrees_topk_5,13,1685
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,1.0,4,2,0,7,8,50,10,10,feature_selection,extratrees_topk_10,13,1685
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,1.0,4,2,0,7,8,50,15,15,feature_selection,extratrees_topk_15,13,1685
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,8,50,20,20,feature_selection,extratrees_topk_20,13,1685
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,8,50,30,30,feature_selection,extratrees_topk_30,13,1685
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,8,50,50,50,feature_selection,extratrees_topk_50,13,1685
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,8,50,70,70,feature_selection,extratrees_topk_70,13,1685
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,8,50,90,90,feature_selection,extratrees_topk_90,13,1685
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,9,51,5,5,feature_selection,extratrees_topk_5,13,1802
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,9,51,10,10,feature_selection,extratrees_topk_10,13,1802
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,9,51,15,15,feature_selection,extratrees_topk_15,13,1802
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,0.9523809523809524,5,1,0,7,9,51,20,20,feature_selection,extratrees_topk_20,13,1802
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,0.9761904761904763,5,1,0,7,9,51,30,30,feature_selection,extratrees_topk_30,13,1802
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,0.9761904761904763,5,1,0,7,9,51,50,50,feature_selection,extratrees_topk_50,13,1802
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,0.9761904761904763,5,1,0,7,9,51,70,70,feature_selection,extratrees_topk_70,13,1802
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,0.9761904761904763,5,1,0,7,9,51,90,90,feature_selection,extratrees_topk_90,13,1802
